region,product_category,orders,net_revenue,gross_profit,margin_pct,avg_delivery_days,on_time_rate,return_rate,backorder_rate,avg_discount_pct,issue_count,issue_summary
Southwest,Furniture,654,706589.2,147288.4,0.2084,8.53,0.1682,0.1131,0.159,0.1604,5,Low margin; Late deliveries; High returns; Backorders; Slow fulfillment;
Southeast,Electronics,1173,2588711.08,404513.76,0.1563,5.05,0.4169,0.1023,0.1262,0.1695,5,Low margin; Late deliveries; High returns; Backorders; Slow fulfillment;
West,Apparel,773,566945.1,234096.83,0.4129,5.54,0.6067,0.2122,0.066,0.1282,4,Late deliveries; High returns; Backorders; Slow fulfillment;
Southeast,Furniture,540,614357.86,177662.26,0.2892,6.03,0.7296,0.0556,0.0815,0.1248,3,Low margin; Backorders; Slow fulfillment;
Northeast,Furniture,621,726417.02,202832.11,0.2792,6.01,0.7359,0.0757,0.0596,0.1249,3,Low margin; High returns; Slow fulfillment;
West,Electronics,853,1966095.14,442228.64,0.2249,5.2,0.7585,0.075,0.0539,0.1193,3,Low margin; High returns; Slow fulfillment;
Midwest,Electronics,885,1959572.74,443961.59,0.2266,3.29,0.6927,0.0712,0.0588,0.1202,3,Low margin; Late deliveries; High returns;
Southwest,Electronics,881,2028694.52,467007.6,0.2302,5.1,0.7401,0.0624,0.0715,0.1194,3,Low margin; Backorders; Slow fulfillment;
West,Furniture,538,607291.23,171081.03,0.2817,6.98,0.7342,0.0576,0.0576,0.1259,2,Low margin; Slow fulfillment;
Southwest,Apparel,525,398944.12,181469.14,0.4549,5.26,0.7105,0.099,0.0514,0.1127,2,High returns; Slow fulfillment;
Northeast,Apparel,686,559767.89,259524.29,0.4636,4.27,0.7012,0.0889,0.0452,0.1119,2,Late deliveries; High returns;
Midwest,Furniture,589,656367.08,186232.77,0.2837,4.91,0.747,0.0441,0.0526,0.1251,1,Low margin;
Midwest,Apparel,663,518904.82,239891.29,0.4623,3.22,0.724,0.1071,0.0513,0.1133,1,High returns;
Southeast,Apparel,665,549195.81,254185.41,0.4628,4.24,0.7308,0.0947,0.0451,0.1113,1,High returns;
Southwest,Office Supplies,627,972274.37,401684.38,0.4131,5.25,0.7464,0.0526,0.0383,0.0866,1,Slow fulfillment;
Southwest,Industrial,564,1176800.57,422341.87,0.3589,6.05,0.7926,0.0532,0.0514,0.0924,1,Slow fulfillment;
West,Office Supplies,648,1022935.18,427828.72,0.4182,5.38,0.7593,0.0463,0.0448,0.0865,1,Slow fulfillment;
West,Industrial,597,1284281.69,472466.66,0.3679,6.17,0.7605,0.0519,0.0486,0.0917,1,Slow fulfillment;
Northeast,Industrial,692,1308476.5,480168.04,0.367,5.2,0.7283,0.0462,0.0535,0.0926,1,Slow fulfillment;
Southeast,Industrial,630,1322566.76,493959.83,0.3735,5.23,0.7381,0.0413,0.0571,0.0922,1,Slow fulfillment;
Northeast,Electronics,1002,2211197.7,499920.12,0.2261,4.2,0.7275,0.0689,0.0539,0.1196,1,Low margin;
